session.code,group.id_in_subsession,player.id_in_group,LabID,time,message

5pftg6km,1,1,,25.05.2022 19:22:39,12
3d25yl5t,1,2,,25.05.2022 19:24:19,100
3d25yl5t,1,2,,25.05.2022 19:24:19,100
veqjyyog,1,3,,25.07.2022 11:55:41,2
veqjyyog,1,4,,25.07.2022 11:55:54,100
veqjyyog,1,3,,25.07.2022 11:55:58,4
veqjyyog,1,3,,25.07.2022 11:55:59,44
veqjyyog,1,3,,25.07.2022 11:56:05,86
veqjyyog,1,2,,25.07.2022 11:56:10,56
veqjyyog,1,2,,25.07.2022 11:56:12,66
veqjyyog,1,2,,25.07.2022 11:56:16,20
8x3gcl8c,1,1,,27.07.2022 11:37:35,12
8x3gcl8c,1,1,,27.07.2022 11:37:46,100
