session.code,group.id_in_subsession,player.id_in_group,LabID,time,message

5pftg6km,1,1,,25.05.2022 19:22:39,12
3d25yl5t,1,2,,25.05.2022 19:24:19,100
3d25yl5t,1,2,,25.05.2022 19:24:19,100
sfc13aat,1,3,,25.07.2022 12:04:34,22
sfc13aat,1,3,,25.07.2022 12:04:34,22
sfc13aat,1,3,,25.07.2022 12:04:37,100
sfc13aat,1,3,,25.07.2022 12:04:37,100
sfc13aat,1,3,,25.07.2022 12:04:41,200
sfc13aat,1,3,,25.07.2022 12:04:47,400
sfc13aat,1,1,,25.07.2022 12:04:51,2
sfc13aat,1,1,,25.07.2022 12:04:51,2
sfc13aat,1,1,,25.07.2022 12:04:55,22
sfc13aat,1,1,,25.07.2022 12:04:55,22
godfgwd6,1,2,,26.07.2022 16:55:44,22
godfgwd6,1,2,,26.07.2022 16:55:44,22
godfgwd6,1,1,,26.07.2022 16:55:49,56
godfgwd6,1,1,,26.07.2022 16:55:49,56
godfgwd6,1,2,,26.07.2022 16:55:53,88
godfgwd6,1,2,,26.07.2022 16:55:53,88
godfgwd6,1,1,,26.07.2022 16:55:56,98
godfgwd6,1,1,,26.07.2022 16:55:56,98
godfgwd6,1,2,,26.07.2022 16:56:02,0
godfgwd6,1,2,,26.07.2022 16:56:06,300
egfmq75i,1,1,,27.07.2022 11:43:27,2
egfmq75i,1,3,,27.07.2022 11:43:35,100
