code;payoff
123456;100
654321;456
TEST00; 400
TEST01; 500
TEST02; 600
TEST03; 650
TEST04; 700
TEST05; 750
TEST06; 800
TEST07; 900
TEST08; 1000
TEST09; 1100
TEST10; 1200
YYYY01; 0
YYYY02; 0
YYYY03; 0
YYYY04; 0
YYYY05; 0
YYYY06; 0
YYYY07; 0
YYYY08; 0
YYYY09; 0
YYYY10; 0
YYYY11; 0
YYYY12; 0
YYYY13; 0
YYYY14; 0
YYYY15; 0
YYYY16; 0
YYYY17; 0
YYYY18; 0
YYYY19; 0
YYYY20; 0
YYYY21; 0
YYYY22; 0
YYYY23; 0
YYYY24; 0
YYYY25; 0
YYYY26; 0
YYYY27; 0
YYYY28; 0
YYYY29; 0
YYYY30; 0
YYYY31; 0
YYYY32; 0
YYYY33; 0
YYYY34; 0
YYYY35; 0
YYYY36; 0
YYYY37; 0
YYYY38; 0
YYYY39; 0
YYYY40; 0
TNBO26;725
ROST26;900
ITPE16;900
ZLRU12;1100
ZABO06;950
IEHA10;850
RUKO06;650
REKO26;795
RAHA16;725
IAWI25;725
RNBO05;875
RNAA10;1125
INBE28;550
RIJA13;1015
TABA25;725
RTEU07;725
ZIST12;1000
RNMU21;767
RNSI12;1000
RUST07;725
RNGU15;690
IADA13;900
ZISC07;795
REVE22;1000
TNBO26;740
ROCA30;740
LEZI02;830
TEMA22;1140
RNBO08;905
IAHE31;900
ZEDU13;550
RNKO11;900
RRBO29;830
RULE02;900
ROLE03;900
RNRO09;550
RABO19;830
RALA26;900
TEPR20;795
RAMO28;795
RLTR24;1000
TELA16;1000
IHSA27;851
REWE22;851
RABO14;550
RIJI24;940
LHKO24;795
RAMO31;725
TINE07;950
ZEES31;676
IRLE15;851
RTWE22;851
RIKO17;767
RSBO08;767
RLMU25;858
IAKO08;1000
ILKO06;676
RLBO20;641
REBE97;825
SAKK20;825
ZEWU01;815
RVPE30;900
IISA06;785
RAKO14;565
RABR27;725
REHA19;725
IEBO05;1000
REIN20;1000
RAEU03;845
LLOM20;875
IEBO29;925
LEOL03;1045
TALA13;670
RAHI11;670
IUER25;858
RNKO26;837
RYBO14;800
IATR20;800
ILLA20;725
TRKO24;725
IITR25;550
IARA22;900
RNPE31;915
IRMU12;851
RADU14;820
RAKO04;676
IIKY12;690
RUHA08;1020
RLAB21;730
IHBO29;767
RANE25;670
RABE20;900
RNWU29;500
RNBO21;900
RESA15;900
RNKI18;700
ROBO13;690
INBO11;900
IOHA11;767
RNAL18;850
LVSO05;870
IEBE17;725
RRMO04;930
RIHE08;870
RUDU13;900
RGBO26;1130
REBO18;870
RUHE12;730
TABO05;690
TEBE11;930
RADO25;550
RADU30;830
IAAC08;670
RORE16;870
IRDO13;830
RAMO22;670
TNPA14;550
RAWI30;950
IAJE02;795
LECH21;750
RAKA19;865
LADU02;730
RISK18;870
TABE20;730
RAVI20;851
RRBI24;851
TALA13;860
RITR18;795
RHRU26;830
RAHA12;1030
INAA23;767
ROME25;930
IEBR15;550
ILMU15;900
IEBO16;851
AVBO24;851
TOSC28;795
RMGU09;730
RUBO23;550
RNBE22;900
LAKO21;746
RAKO08;886
REKO17;704
RIKA14;740
LSSI18;750
ILWA02;850
ZYSZ18;795
IYBE25;795
RNAD27;676
IOIR16;641
RMBO23;930
